cohort,artist_id,artist_name,track_name,historical_year,accepted_spotify_artist_id
1990s-2000s-foundations,1122,Spice Girls,Say You'll Be There,1996,
1990s-2000s-foundations,1122,Spice Girls,2 Become 1,1996,
1990s-2000s-foundations,1122,Spice Girls,Stop,1997,
1990s-2000s-foundations,62,Snoop Dogg,Gin and Juice,1993,
1990s-2000s-foundations,62,Snoop Dogg,Who Am I (What's My Name)?,1993,
1990s-2000s-foundations,62,Snoop Dogg,Beautiful,2002,
1990s-2000s-foundations,346,Toni Braxton,Another Sad Love Song,1993,
1990s-2000s-foundations,346,Toni Braxton,Breathe Again,1993,
1990s-2000s-foundations,346,Toni Braxton,He Wasn't Man Enough,2000,
1990s-2000s-foundations,335,Oasis,Live Forever,1994,
1990s-2000s-foundations,335,Oasis,Supersonic,1994,
1990s-2000s-foundations,335,Oasis,Champagne Supernova,1995,
