proposed_code,type,printed_title,stable_target_identity,source_location,status,notes
A-011,artist_spotlight,Esperanza Spalding,"{""artist_id"": 972, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""5bepW5vcdRzheNc0F8lHJ5""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-011; no printed A-xxx assignment exists.
A-012,artist_spotlight,Etta James,"{""artist_id"": 563, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""0iOVhN3tnSvgDbcg25JoJb""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-012; no printed A-xxx assignment exists.
A-013,artist_spotlight,Gary Clark Jr.,"{""artist_id"": 974, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""01aC2ikO4Xgb2LUpf9JfKp""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-013; no printed A-xxx assignment exists.
A-014,artist_spotlight,George Benson,"{""artist_id"": 939, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""4N8BwYTEC6XqykGvXXlmfv""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-014; no printed A-xxx assignment exists.
A-015,artist_spotlight,Gregory Porter,"{""artist_id"": 990, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""06nevPmNVfWUXyZkccahL8""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-015; no printed A-xxx assignment exists.
A-016,artist_spotlight,Herbie Hancock,"{""artist_id"": 908, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2ZvrvbQNrHKwjT7qfGFFUW""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-016; no printed A-xxx assignment exists.
A-017,artist_spotlight,Howlin' Wolf,"{""artist_id"": 890, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""0Wxy5Qka8BN9crcFkiAxSR""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-017; no printed A-xxx assignment exists.
A-018,artist_spotlight,John Coltrane,"{""artist_id"": 886, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2hGh5VOeeqimQFxqXvfCUf""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-018; no printed A-xxx assignment exists.
A-019,artist_spotlight,Kenny G,"{""artist_id"": 950, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6I3M904Y9IwgDjrQ9pANiB""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-019; no printed A-xxx assignment exists.
A-020,artist_spotlight,Lee Ritenour,"{""artist_id"": 951, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""1nDqTUspmq8IXhcEZT93iq""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-020; no printed A-xxx assignment exists.
A-021,artist_spotlight,Marcus Miller,"{""artist_id"": 964, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6fmq5mv6HnduZdlTOEYBC9""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-021; no printed A-xxx assignment exists.
A-022,artist_spotlight,Marvin Gaye,"{""artist_id"": 171, ""retained_genre_slugs"": [""blues_jazz"", ""rnb_soul""], ""spotify_artist_id"": ""3koiLjNrgRTNbOwViDipeA""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-022; no printed A-xxx assignment exists.
A-023,artist_spotlight,Miles Davis,"{""artist_id"": 884, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""0kbYTNQb4Pb1rPbbaF0pT4""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-023; no printed A-xxx assignment exists.
A-024,artist_spotlight,Muddy Waters,"{""artist_id"": 911, ""retained_genre_slugs"": [""blues_jazz"", ""folk_acoustic""], ""spotify_artist_id"": ""4vpDg7Y7fU982Ds30zawDA""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-024; no printed A-xxx assignment exists.
A-025,artist_spotlight,Norah Jones,"{""artist_id"": 960, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2Kx7MNY7cI1ENniW7vT30N""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-025; no printed A-xxx assignment exists.
A-026,artist_spotlight,Ray Charles,"{""artist_id"": 542, ""retained_genre_slugs"": [""blues_jazz"", ""rnb_soul""], ""spotify_artist_id"": ""1eYhYunlNJlDoQhtYBvPsi""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-026; no printed A-xxx assignment exists.
A-027,artist_spotlight,Robert Cray,"{""artist_id"": 953, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6eMlKSBFAoXVJLoeHmwKEj""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-027; no printed A-xxx assignment exists.
A-028,artist_spotlight,Robert Glasper Experiment,"{""artist_id"": 977, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""5cM1PvItlR21WUyBnsdMcn""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-028; no printed A-xxx assignment exists.
A-029,artist_spotlight,Steely Dan,"{""artist_id"": 932, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6P7H3ai06vU1sGvdpBwDmE""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-029; no printed A-xxx assignment exists.
A-030,artist_spotlight,Stevie Ray Vaughan,"{""artist_id"": 957, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""5fsDcuclIe8ZiBD5P787K1""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-030; no printed A-xxx assignment exists.
A-031,artist_spotlight,Stevie Wonder,"{""artist_id"": 224, ""retained_genre_slugs"": [""blues_jazz"", ""pop"", ""rnb_soul""], ""spotify_artist_id"": ""7guDJrEfX3qb6FEbdPA5qi""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-031; no printed A-xxx assignment exists.
A-032,artist_spotlight,Susan Tedeschi,"{""artist_id"": 968, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""5Ws3s6lSP4Un8kQf8CrAta""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-032; no printed A-xxx assignment exists.
A-033,artist_spotlight,Sza,"{""artist_id"": 466, ""retained_genre_slugs"": [""blues_jazz"", ""rnb_soul""], ""spotify_artist_id"": ""7tYKF4w9nC0nq9CsPZTHyP""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-033; no printed A-xxx assignment exists.
A-034,artist_spotlight,Tedeschi Trucks Band,"{""artist_id"": 995, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2gFsmDBM0hkoZPmrO5EdyO""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-034; no printed A-xxx assignment exists.
A-035,artist_spotlight,The Black Keys,"{""artist_id"": 976, ""retained_genre_slugs"": [""blues_jazz"", ""rock""], ""spotify_artist_id"": ""7mnBLXK823vNxN3UWB7Gfz""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-035; no printed A-xxx assignment exists.
A-036,artist_spotlight,The Derek Trucks Band,"{""artist_id"": 970, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""1YwfENKEZrowcmtR1nALZn""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-036; no printed A-xxx assignment exists.
A-037,artist_spotlight,The White Stripes,"{""artist_id"": 74, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""4F84IBURUo98rz4r61KF70""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-037; no printed A-xxx assignment exists.
A-038,artist_spotlight,Alabama,"{""artist_id"": 253, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""6rJqqRce0Kvo2dJUXoHleC""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-038; no printed A-xxx assignment exists.
A-039,artist_spotlight,Alan Jackson,"{""artist_id"": 10, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""4mxWe1mtYIYfP040G38yvS""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-039; no printed A-xxx assignment exists.
A-040,artist_spotlight,Blake Shelton,"{""artist_id"": 397, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""1UTPBmNbXNTittyMJrNkvw""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-040; no printed A-xxx assignment exists.
A-041,artist_spotlight,Brad Paisley,"{""artist_id"": 24, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""13YmWQJFwgZrd4bf5IjMY4""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-041; no printed A-xxx assignment exists.
A-042,artist_spotlight,Brooks and Dunn,"{""artist_id"": 316, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0XKOBt59crntr7HQXXO8Yz""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-042; no printed A-xxx assignment exists.
A-043,artist_spotlight,Buck Owens,"{""artist_id"": 145, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2FMZn5P3WATd7Il6FgPJNu""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-043; no printed A-xxx assignment exists.
A-044,artist_spotlight,Chris Stapleton,"{""artist_id"": 389, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""4YLtscXsxbVgi031ovDDdh""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-044; no printed A-xxx assignment exists.
A-045,artist_spotlight,Dierks Bentley,"{""artist_id"": 388, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""7x8nK0m0cP2ksQf0mjWdPS""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-045; no printed A-xxx assignment exists.
A-046,artist_spotlight,Dolly Parton,"{""artist_id"": 208, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""32vWCbZh0xZ4o9gkz4PsEU""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-046; no printed A-xxx assignment exists.
A-047,artist_spotlight,Don Williams,"{""artist_id"": 217, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""4Ti0EKl2PVEms2NRMVGqNe""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-047; no printed A-xxx assignment exists.
A-048,artist_spotlight,Elvis Presley,"{""artist_id"": 514, ""retained_genre_slugs"": [""country"", ""pop"", ""rock""], ""spotify_artist_id"": ""43ZHCT0cAZBISjO8DG9PnE""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-048; no printed A-xxx assignment exists.
A-049,artist_spotlight,Eric Church,"{""artist_id"": 391, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2IvkS5MXK0vPGnwyJsrEyV""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-049; no printed A-xxx assignment exists.
A-050,artist_spotlight,Florida Georgia Line,"{""artist_id"": 383, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""3b8QkneNDz4JHKKKlLgYZg""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-050; no printed A-xxx assignment exists.
A-051,artist_spotlight,George Jones,"{""artist_id"": 143, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2OpqcUtj10HHvGG6h9VYC5""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-051; no printed A-xxx assignment exists.
A-052,artist_spotlight,George Strait,"{""artist_id"": 2, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""5vngPClqofybhPERIqQMYd""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-052; no printed A-xxx assignment exists.
A-053,artist_spotlight,Glen Campbell,"{""artist_id"": 152, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""59hLmB5DrdihCYtNeFeW1U""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-053; no printed A-xxx assignment exists.
A-054,artist_spotlight,Hank Williams,"{""artist_id"": 218, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""1FClsNYBUoNFtGgzeG74dW""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-054; no printed A-xxx assignment exists.
A-055,artist_spotlight,Hank Williams Jr,"{""artist_id"": 264, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2dyeCWctcFRt3Pha76ONgb""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-055; no printed A-xxx assignment exists.
A-056,artist_spotlight,Jason Aldean,"{""artist_id"": 387, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""3FfvYsEGaIb52QPXhg4DcH""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-056; no printed A-xxx assignment exists.
A-057,artist_spotlight,Jim Reeves,"{""artist_id"": 144, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2Ev0e8GUIX4u7d9etNLTXg""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-057; no printed A-xxx assignment exists.
A-058,artist_spotlight,John Denver,"{""artist_id"": 197, ""retained_genre_slugs"": [""country"", ""folk_acoustic""], ""spotify_artist_id"": ""7EK1bQADBoqbYXnT4Cqv9w""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-058; no printed A-xxx assignment exists.
A-059,artist_spotlight,John Michael Montgomery,"{""artist_id"": 317, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""7mPcfx7PhnBh6n4HMCd61A""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-059; no printed A-xxx assignment exists.
A-060,artist_spotlight,Johnny Cash,"{""artist_id"": 141, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""6kACVPfCOnqzgfEF5ryl0x""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-060; no printed A-xxx assignment exists.
A-061,artist_spotlight,Keith Urban,"{""artist_id"": 22, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0u2FHSq3ln94y5Q57xazwf""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-061; no printed A-xxx assignment exists.
A-062,artist_spotlight,Kenny Chesney,"{""artist_id"": 17, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""3grHWM9bx2E9vwJCdlRv9O""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-062; no printed A-xxx assignment exists.
A-063,artist_spotlight,Kenny Rogers,"{""artist_id"": 196, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""4tw2Lmn9tTPUv7Gy7mVPI4""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-063; no printed A-xxx assignment exists.
A-064,artist_spotlight,Lefty Frizzell,"{""artist_id"": 216, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""05pAwLhsutiuj6gerEwGvU""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-064; no printed A-xxx assignment exists.
A-065,artist_spotlight,Luke Bryan,"{""artist_id"": 398, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0BvkDsjIUla7X0k6CSWh1I""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-065; no printed A-xxx assignment exists.
A-066,artist_spotlight,Luke Combs,"{""artist_id"": 442, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""718COspgdWOnwOFpJHRZHS""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-066; no printed A-xxx assignment exists.
A-067,artist_spotlight,Marty Robbins,"{""artist_id"": 142, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0Xi59sEw38vRvwleSAVqoo""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-067; no printed A-xxx assignment exists.
A-068,artist_spotlight,Mary Chapin Carpenter,"{""artist_id"": 329, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0qAmeOULjwn04k6jMMeDyr""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-068; no printed A-xxx assignment exists.
A-069,artist_spotlight,Merle Haggard,"{""artist_id"": 155, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2ptmyXoL7poH6Zq62h1QT9""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-069; no printed A-xxx assignment exists.
A-070,artist_spotlight,Miranda Lambert,"{""artist_id"": 392, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""66lH4jAE7pqPlOlzUKbwA0""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-070; no printed A-xxx assignment exists.
A-071,artist_spotlight,Patsy Cline,"{""artist_id"": 139, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""7dNsHhGeGU5MV01r06O8gK""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-071; no printed A-xxx assignment exists.
A-072,artist_spotlight,Randy Travis,"{""artist_id"": 1, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""1pTuR132U5b4Rizal2Pr7m""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-072; no printed A-xxx assignment exists.
A-073,artist_spotlight,Rascal Flatts,"{""artist_id"": 21, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""0a1gHP0HAqALbEyxaD5Ngn""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-073; no printed A-xxx assignment exists.
A-074,artist_spotlight,Sam Hunt,"{""artist_id"": 385, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2kucQ9jQwuD8jWdtR9Ef38""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-074; no printed A-xxx assignment exists.
A-075,artist_spotlight,The Everly Brothers,"{""artist_id"": 523, ""retained_genre_slugs"": [""country"", ""pop"", ""rock""], ""spotify_artist_id"": ""4ACplpEqD6JIVgKrafauzs""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-075; no printed A-xxx assignment exists.
A-076,artist_spotlight,Toby Keith,"{""artist_id"": 12, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""2bA6fzP0lMAQ4kz6CF61w8""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-076; no printed A-xxx assignment exists.
A-077,artist_spotlight,Waylon Jennings,"{""artist_id"": 198, ""retained_genre_slugs"": [""country""], ""spotify_artist_id"": ""7wCjDgV6nqBsHguQXPAaIM""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-077; no printed A-xxx assignment exists.
A-078,artist_spotlight,America,"{""artist_id"": 1198, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""35U9lQaRWSQISxQAB94Meo""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-078; no printed A-xxx assignment exists.
A-079,artist_spotlight,Bob Dylan,"{""artist_id"": 158, ""retained_genre_slugs"": [""folk_acoustic"", ""rock""], ""spotify_artist_id"": ""74ASZWbe4lXaubB36ztrGX""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-079; no printed A-xxx assignment exists.
A-080,artist_spotlight,Caamp,"{""artist_id"": 1208, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""0wyMPXGfOuQzNR54ujR9Ix""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-080; no printed A-xxx assignment exists.
A-081,artist_spotlight,Charley Crockett,"{""artist_id"": 1209, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""3BJX1nYizKvWpZTY5HOAr4""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-081; no printed A-xxx assignment exists.
A-082,artist_spotlight,Elliott Smith,"{""artist_id"": 1203, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""2ApaG60P4r0yhBoDCGD8YG""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-082; no printed A-xxx assignment exists.
A-083,artist_spotlight,Gregory Alan Isakov,"{""artist_id"": 1206, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""5sXaGoRLSpd7VeyZrLkKwt""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-083; no printed A-xxx assignment exists.
A-084,artist_spotlight,James Taylor,"{""artist_id"": 509, ""retained_genre_slugs"": [""folk_acoustic""], ""spotify_artist_id"": ""0vn7UBvSQECKJm2817Yf1P""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-084; no printed A-xxx assignment exists.
